"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
676702,"Stratton, Hunter","R",587,134,"37.4",-1.710535478113503,5.988756388,0.11481365260987468,4.594226038924164
592426,"Jackson, Luke","R",917,9999,"53.5",-1.1800780262520325,6.513958561,0.22828525767003546,4.608196333564656
701581,"Festa, David","R",1099,142,"56.4",-0.9512033536058626,6.154649682,0.35404882464856247,4.190241022871216
572143,"Smith, Burch","R",896,9999,"39.1",-1.7738999591307627,5.697276786,-0.056128413268716544,4.302477774561528
666208,"Speas, Alex","R",39,117,"41.9",-1.7526089379450822,6.341794872,0.07257521596051009,4.702616991178757
701542,"Warren, Will","R",458,147,"24.9",-2.107875947042035,5.65720524,-0.004258991079560051,4.678213973215328
676130,"Buttó, José","R",1222,121,"33.1",-2.16425436514693,5.287790507,-0.14297427750597316,3.9709411758141724
666207,"Pint, Riley","R",102,115,"26.0",-2.9397068244709144,5.500686275,-0.618604690503652,4.365584478871761
656266,"Bukauskas, J.B.","R",88,158,"18.8",-2.5650235023056167,5.167159091,-0.5030332077459085,4.467429292254091
689147,"Kerkering, Orion","R",1063,143,"31.2",-2.215434379257989,5.651721543,-0.21379688040272124,4.442381639761015
554431,"Matzek, Tyler","L",179,144,"50.2",1.4627245069362838,6.249832402,-0.05590327925990101,4.4260451956303095
608678,"Leone, Dominic","R",361,145,"40.5",-1.6710471368688795,5.803490305,-0.027211177606272938,4.400457638960896
622786,"Tinoco, Jesus","R",644,9999,"25.4",-2.2376097067071847,5.265776398,-0.1485493640736926,4.271977122983582
624133,"Suárez, Ranger","L",2265,143,"41.8",1.707449881454379,5.845532009,0.0005085696072528969,4.319290149803451
700187,"Taylor, Troy","R",328,136,"30.6",-2.126827473010305,5.638506098,-0.2368368464958045,4.522088026879265
621244,"Berríos, José","R",2907,141,"39.6",-2.1500712370168418,5.611795666,-0.35319167722879263,4.12770302122788
643377,"Jax, Griffin","R",1066,142,"45.8",-1.3803030125766798,5.500609756,0.21743911033968413,3.856790475330506
628317,"Maeda, Kenta","R",1958,116,"38.5",-1.953231123678627,5.686149132,-0.18669332889066126,4.2817756422301505
663992,"Lovelady, Richard","L",528,9999,"18.6",2.5272467811477926,5.239905303,0.5388213071557834,4.572021897112841
669711,"Weissert, Greg","R",1028,111,"15.7",-2.7707199859551848,4.826809339,-0.5399130020738397,4.201374541015553
677020,"Walker, Josh","L",215,121,"42.3",1.8879543817535007,6.163255814,0.08357617792148571,4.519605528748496
663432,"Rainey, Tanner","R",939,120,"37.7",-2.1202026667936527,6.097518637,-0.2751086216420929,4.672028309594719
543859,"Tonkin, Michael","R",1402,9999,"13.2",-2.9512729321980022,5.194942939,-0.619582767996318,4.64798215637961
595014,"Treinen, Blake","R",737,119,"31.6",-2.271390201136744,6.204843962,-0.13800033812464166,4.8914881883726675
571945,"Mikolas, Miles","R",2703,138,"43.3",-1.970840714821015,6.42627081,-0.1460003909962063,4.703901034138474
668390,"Winn, Cole","R",286,140,"41.1",-1.9529980717509254,5.500314685,-0.1862091750495494,3.961176842052776
663855,"Hicks, Jordan","R",1958,137,"29.4",-2.319652760803331,5.615955056,-0.29308856061971633,4.474915976550336
656464,"Ginkel, Kevin","R",1184,109,"40.3",-1.7702920218596088,6.428353041,0.05065392789179557,4.886261475872603
642397,"Soto, Gregory","L",948,9999,"36.1",2.1567875764334223,5.728945148,0.2175265103567317,4.3115542256143
668909,"Williams, Gavin","R",1361,114,"35.4",-2.0993518599185514,5.861763409,-0.21125753574557865,4.520651036710189
666171,"Zeferjahn, Ryan","R",208,108,"37.9",-1.8576092622795544,5.845384615,-0.025977419700397634,4.421265166512405
692230,"Rodriguez, Carlos","R",233,158,"34.5",-1.9412507937567205,5.676566524,-0.15029820293314358,4.447346980789978
669467,"Pallante, Andre","R",1880,138,"58.8",-1.3553052922705124,5.998718085,-0.22368324027193096,4.130519338093074
686751,"Johnson, Seth","R",58,143,"52.9",-1.0716001310617722,6.011206897,0.3101645107259205,4.178070240949043
596001,"Junis, Jakob","R",943,9999,"29.1",-2.2302057027469004,5.644485684,-0.24273831298450152,4.539439115596103
688107,"Gasser, Robert","L",399,158,"24.7",2.4664063417283373,4.957067669,0.41614313904190087,4.014925496450574
641540,"Dunning, Dane","R",1689,140,"38.2",-1.8942707644314123,5.41142688,-0.06612274384214087,3.968746011414953
689690,"Jacob, Alek","R",232,135,"-1.2",-2.4989966408491116,3.813017241,-0.3147277706066752,3.857556432094782
593958,"Rodriguez, Eduardo","L",865,109,"39.5",1.955284666950522,5.858809249,0.1433676040926093,4.365570565258155
668943,"Miller, Ryan","R",219,108,"32.8",-2.062163137205848,4.756438356,-0.1205925719727493,3.505227686616365
686613,"Brown, Hunter","R",2888,117,"57.4",-0.9702870266338712,6.25699446,0.21461922698757166,4.39836689932772
702674,"Dana, Caden","R",206,108,"44.2",-1.60887125871394,6.035582524,-0.013739282747520898,4.486176099804437
592351,"Gray, Jon","R",1619,140,"32.4",-2.077590352065998,5.604848672,-0.1304788436448194,4.369111647338477
650960,"Duarte, Daniel","R",56,142,"39.3",-1.492513818156081,5.530892857,0.1440131795900178,4.190728822892792
656629,"Kopech, Michael","R",1141,9999,"44.8",-1.5907048719841135,5.717537248,-0.08144733518616593,4.219771227665629
671305,"Otañez, Michel","R",601,133,"32.5",-2.14739726220781,5.638252912,-0.17749528474526993,4.384631796233846
683021,"Stefanic, Michael","R",1,108,"39.9",-1.8788206888463659,5.78,-0.2986893939393939,4.460357575757576
808967,"Yamamoto, Yoshinobu","R",1421,119,"46.1",-1.3542937233715446,5.515559465,0.035992423552493095,4.0745295180140975
656794,"Newcomb, Sean","L",184,133,"38.8",2.0860198184251604,6.258858696,0.10043583904905837,4.660530789351315
527054,"Teheran, Julio","R",68,121,"20.9",-2.8082732402876,5.022941176,-0.7149082428960889,4.22342552951662
682842,"Uribe, Abner","R",258,158,"42.1",-1.9381313076523285,5.952209302,0.03476670915723583,4.169584456742525
605483,"Snell, Blake","L",1773,137,"57.1",1.1071542499099825,6.638742245,-0.18897046703724843,4.636251638360315
669432,"Rogers, Trevor","L",2243,9999,"22.7",2.4689770663491792,5.706486848,0.23645099227304922,4.771702789029529
608371,"Sims, Lucas","R",885,9999,"38.1",-1.6565552681324234,5.688056497,0.08792771846077932,4.318566518827359
455119,"Martin, Chris","R",657,111,"40.6",-2.0036245874255587,6.110410959,-0.13571466803408777,4.506945288501455
669308,"Reynolds, Sean","R",225,135,"40.6",-1.6281517698415202,6.473422222,0.12003717567835215,4.974653739354328
669456,"Bieber, Shane","R",166,114,"42.2",-1.5122507406606498,5.73253012,0.04536308549706853,4.318646917616993
670103,"Burgos, Raymond","L",25,137,"24.3",2.39322703746661,5.8148,0.1647439037433155,4.806526417112299
663969,"Phillips, Tyler","R",578,143,"29.2",-2.2169970158256636,5.86783737,-0.06861603769220806,4.668565173873888
680885,"Schwellenbach, Spencer","R",1887,144,"33.2",-2.2589370031130747,5.439798622,-0.5218472213484329,4.301821779895654
613534,"Adams, Austin","R",805,133,"10.7",-2.7466544962727384,5.187677019,-0.5356057264644988,4.767770259850968
642048,"Saucedo, Tayler","L",626,136,"21.9",2.585825785712797,5.266964856,0.31154467632536575,4.352500999897491
686730,"Spiers, Carson","R",1554,113,"30.2",-2.039690832429665,5.318732304,-0.07962340392340388,4.180772751074217
